"RoleName","DoorToAccess","AccessStatus","DATETIME"
"FIRE","","false","14-Nov-2022 20:19:35"
"INTRUDER","","false","14-Nov-2022 20:19:42"
"CONFERENCE","0","false","14-Nov-2022 20:19:47"
"CONFERENCE","1","true","14-Nov-2022 20:19:50"
"CONFERENCE","2","false","14-Nov-2022 20:19:55"
"CONFERENCE","3","false","14-Nov-2022 20:19:59"
"CONFERENCE","4","false","14-Nov-2022 20:20:3"
"CONFERENCE","5","false","14-Nov-2022 20:20:7"
"CONFERENCE","6","false","14-Nov-2022 20:20:11"
"CONFERENCE","7","false","14-Nov-2022 20:20:15"
"GUEST","0","true","14-Nov-2022 20:20:21"
"GUEST","1","false","14-Nov-2022 20:20:25"
"GUEST","2","true","14-Nov-2022 20:20:29"
"GUEST","3","true","14-Nov-2022 20:20:32"
"GUEST","4","false","14-Nov-2022 20:20:36"
"GUEST","5","false","14-Nov-2022 20:20:42"
"GUEST","6","false","14-Nov-2022 20:20:46"
"GUEST","7","false","14-Nov-2022 20:20:49"
"EMPLOYEE","0","true","14-Nov-2022 20:20:56"
"EMPLOYEE","1","false","14-Nov-2022 20:20:59"
"EMPLOYEE","2","true","14-Nov-2022 20:21:3"
"EMPLOYEE","3","true","14-Nov-2022 20:21:7"
"EMPLOYEE","4","false","14-Nov-2022 20:21:11"
"EMPLOYEE","5","true","14-Nov-2022 20:21:15"
"EMPLOYEE","6","true","14-Nov-2022 20:21:19"
"EMPLOYEE","7","true","14-Nov-2022 20:21:23"
"CEO","1","false","14-Nov-2022 20:21:31"
"CEO","2","true","14-Nov-2022 20:21:35"
"CEO","3","true","14-Nov-2022 20:21:39"
"CEO","4","true","14-Nov-2022 20:21:43"
"CEO","5","false","14-Nov-2022 20:21:47"
"CEO","6","false","14-Nov-2022 20:21:51"
"UNKNOWN","0","false","14-Nov-2022 20:22:3"
"UNKNOWN","1","false","14-Nov-2022 20:22:7"
"UNKNOWN","2","false","14-Nov-2022 20:22:11"
"UNKNOWN","3","false","14-Nov-2022 20:22:15"
"UNKNOWN","3","false","14-Nov-2022 20:22:19"
"UNKNOWN","4","false","14-Nov-2022 20:22:24"
"UNKNOWN","5","false","14-Nov-2022 20:22:27"
"UNKNOWN","6","false","14-Nov-2022 20:22:31"
"UNKNOWN","7","false","14-Nov-2022 20:22:35"
"INTRUDER","","false","14-Nov-2022 20:22:46"
"FIRE","","false","14-Nov-2022 20:22:53"
"CEO","7","true","14-Nov-2022 20:23:29"
