"RoleName","DoorToAccess","AccessStatus","DATETIME"
"INTRUDER","","false","14-Nov-2022 19:52:18"
"FIRE","","false","14-Nov-2022 19:52:47"
"EMPLOYEE","0","true","21-Nov-2022 22:48:2"
"INTRUDER","","false","21-Nov-2022 22:48:8"
"EMPLOYEE","0","true","21-Nov-2022 23:19:38"
"INTRUDER","","false","21-Nov-2022 23:19:44"
"EMPLOYEE","0","true","21-Nov-2022 23:19:50"
"EMPLOYEE","0","true","21-Nov-2022 23:19:55"
"EMPLOYEE","0","true","21-Nov-2022 23:35:45"
"EMPLOYEE","0","true","21-Nov-2022 23:35:56"
"EMPLOYEE","0","true","21-Nov-2022 23:36:7"
"EMPLOYEE","0","true","21-Nov-2022 23:36:35"
"EMPLOYEE","0","true","21-Nov-2022 23:37:49"
"GUEST","0","true","28-Nov-2022 14:52:13"
"INTRUDER","","false","28-Nov-2022 14:52:15"
"EMPLOYEE","4","false","28-Nov-2022 15:17:51"
"GUEST","4","false","28-Nov-2022 15:17:55"
"CONFERENCE","4","false","28-Nov-2022 15:17:57"
"CEO","4","true","28-Nov-2022 15:18:0"
"INTRUDER","","false","2-Dec-2022 14:45:16"
"CONFERENCE","6","false","2-Dec-2022 15:3:34"
"CONFERENCE","0","false","2-Dec-2022 15:18:44"
"CONFERENCE","0","false","2-Dec-2022 15:21:28"
"CONFERENCE","0","false","2-Dec-2022 15:21:32"
"CONFERENCE","0","false","2-Dec-2022 15:21:36"
"CONFERENCE","0","false","2-Dec-2022 15:21:41"
"CONFERENCE","0","false","2-Dec-2022 15:21:45"
"CONFERENCE","0","false","2-Dec-2022 15:21:49"
"EMPLOYEE","0","true","3-Dec-2022 22:1:50"
"UNKNOWN","0","false","3-Dec-2022 22:3:24"
"UNKNOWN","0","false","3-Dec-2022 22:3:29"
"UNKNOWN","0","false","3-Dec-2022 22:5:21"
"UNKNOWN","0","false","3-Dec-2022 22:6:23"
"UNKNOWN","0","false","3-Dec-2022 22:6:27"
"UNKNOWN","0","false","3-Dec-2022 22:6:30"
"EMPLOYEE","0","true","3-Dec-2022 22:11:56"
"EMPLOYEE","0","true","4-Dec-2022 21:36:38"
"CEO","5","false","4-Dec-2022 21:36:52"
"CEO","5","false","4-Dec-2022 21:36:55"
"CEO","5","false","4-Dec-2022 21:36:56"
"CEO","5","false","4-Dec-2022 21:36:58"
"CEO","0","true","5-Dec-2022 18:2:54"
"SUPERVISOR","0","true","5-Dec-2022 18:3:7"
"SUPERVISOR","0","true","5-Dec-2022 18:3:12"
"CEO","6","false","5-Dec-2022 18:3:22"
"CEO","6","false","5-Dec-2022 18:3:28"
"CEO","6","false","5-Dec-2022 18:3:30"
"CEO","6","false","5-Dec-2022 18:3:31"
"EMPLOYEE","6","false","5-Dec-2022 18:3:53"
"EMPLOYEE","6","false","5-Dec-2022 18:4:0"
"EMPLOYEE","6","false","5-Dec-2022 18:4:1"
"EMPLOYEE","6","false","5-Dec-2022 18:4:2"
"EMPLOYEE","6","false","5-Dec-2022 18:4:10"
"INTRUDER","","false","5-Dec-2022 18:4:16"
"EMPLOYEE","0","true","5-Dec-2022 19:38:31"
"EMPLOYEE","0","true","5-Dec-2022 19:41:41"
"EMPLOYEE","0","true","5-Dec-2022 19:42:19"
"CEO","5","false","5-Dec-2022 19:42:50"
"CEO","5","false","5-Dec-2022 19:42:51"
"CEO","5","false","5-Dec-2022 19:42:53"
"CEO","5","false","5-Dec-2022 19:42:54"
"CEO","5","false","5-Dec-2022 19:42:56"
